osm_id,highway,name,name:de,name:it,short_name
137147859,residential,Viale degli Olmi,,,
137868938,service,Piazza di Fiera,,,
138662581,pedestrian,Vicolo del Vò,,,
138744722,residential,Località Piazzina,,,
138783293,pedestrian,Sottoportico del Pievano,,,
138783298,pedestrian,Sottoportico del Pievano,,,
138783299,pedestrian,Vicolo Terlago,,,
138783300,pedestrian,Vicolo Terlago,,,
138790090,service,Via Padre Eusebio Iori,,,
138798529,residential,Via Gabbiolo,,,
138806183,path,Work in progress,,,
140245193,residential,Via Antonio Tambosi,,,
140245194,residential,Via Antonio Tambosi,,,
140246151,residential,Via Antonio Tambosi,,,Via Tambosi
140246153,residential,Via Antonio Tambosi,,,Via Tambosi
140246291,residential,Via Antonio Tambosi,,,
140246292,residential,Via Antonio Tambosi,,,
140303931,pedestrian,Via Giuseppe Mazzini,,,
140376609,residential,Strada della Pozzata,,,
140376615,unclassified,Strada della Pozzata,,,
141265569,tertiary,Via Prepositura,,,
141265570,tertiary,Via Torre Vanga,,,
142156855,unclassified,Via Padre Eusebio Iori,,,
144535788,footway,"Piazza del ""Tridente""",,,
144535789,footway,"Piazza del ""Tridente""",,,
144535800,footway,Galleria de Le Colonne,,,
144535807,footway,"Piazza del ""Tridente""",,,
144535811,footway,"Piazza del ""Tridente""",,,
144729436,residential,Località Cernidor,,,
144783737,residential,Via generale Giacomo Medici,,,
144908719,unclassified,Via alle Gemelle,,,
145481066,service,Via Bolzano,,,
145481067,primary,Via Bolzano,,,
147524118,tertiary,Località Roncafort,,,
147695082,secondary,Via del Ponte,,,
149811073,pedestrian,Via Armando Diaz,,,
149811076,pedestrian,Via San Vigilio,,,
150380266,footway,Vicolo dell'Adige,,,
150380268,pedestrian,Vicolo dell'Adige,,,
150554291,residential,Lungadige Marco Apuleio,,,
150604636,footway,Via Torquato Taramelli,,,
150636893,unclassified,Via cardinale Cristoforo Madruzzo,,,Via Madruzzo
150898095,unclassified,Lungadige Louis Braille,,,
